date,ttf,nbp,fx,national_grid_commodity_entry,bacton_entry,iuk_be_uk,iuk_commodity_be_uk,gts_exit,fluxys_nl_zee_ocuc,fluxys_commodity,iuk_booked_capacity,iuk_technical_capacity,bacton_booked_entry
15/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
16/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
17/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
18/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
19/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
20/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
21/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
22/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
23/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
24/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
25/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
26/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
27/12/2022,170,400,0.85,1.169353581,2.494034831,6.25,0.395368703,1.728201575,0.614222102,0.33879016,35.89093527,59.24335855,0
